Document Title,Authors,DOI,Link
Quantum Dots on Flexible Nanohole Arrays Support Stable Nanolasing,Zheng S.; Ji Q.; Chen Y.; Shao W.; Guo C.; Zhu B.; Chen Y.; Yu J.; Deng S.,10.1021/acsnano.5c20560,https://www.scopus.com/pages/publications/105031736532?origin=resultslist
Stewarding Quantum Intelligence and RALL in Evolving EFL Communication through Maritime Teaching Materials for Sustainability,Muthmainnah M.; Al Yakin A.; Cardoso L.; Aeni N.; Abdulhussein H.M.; Nasir A.,10.25673/122129,https://www.scopus.com/pages/publications/105032681399?origin=resultslist
Quantum-based robotics in the high-tech healthcare industry: Innovations and applications,Khang A.; Rath K.C.; Anh P.T.N.; Rath S.K.; Bhattacharya S.,10.4018/979-8-3693-2105-8.ch001,https://www.scopus.com/pages/publications/85189583881?origin=resultslist
Quantum Leap in Automation: Exploring Quantum Machine Learning for Enhanced Precision in Optoelectronic Robotic Systems,Yadav N.S.; Aluvalu R.; Viswanadhula U.M.; Kantipudi M.V.V.P.; Shankar Murthy P.K.N.; Salendra S.,10.18280/jesa.580607,https://www.scopus.com/pages/publications/105012127531?origin=resultslist
Fuzzy A∗ quantum multi-stage Q-learning artificial potential field for path planning of mobile robots,Hu L.; Wei C.; Yin L.,10.1016/j.engappai.2024.109866,https://www.scopus.com/pages/publications/85211980206?origin=resultslist
Quantum Particle Swarm Optimization (QPSO)-Based Enhanced Dynamic Model Parameters Identification for an Industrial Robotic Arm,Fazilat M.; Zioui N.,10.3390/math13162631,https://www.scopus.com/pages/publications/105014432138?origin=resultslist
Quantum annealing for inverse kinematics in robotics,Salloum H.; Savin S.; Kholodov Y.; Ryzhakov G.; Farina M.; Oseledets I.,10.1038/s41598-025-34346-z,https://www.scopus.com/pages/publications/105028978400?origin=resultslist
The Industry 5.0 Revolution: Challenges and Opportunities of Emerging Digitalization Trends in Business and Management from a Developing Country Perspective,Anne O.; Adenike M.; Isaiah A.; Ngozi C.,,https://www.scopus.com/pages/publications/105005672888?origin=resultslist
Meta-Health: Understanding Metaverse for Healthcare,Vyas S.; Gupta S.; Tyagi A.,10.1007/978-981-96-5844-2,https://www.scopus.com/pages/publications/105024158530?origin=resultslist
AI-Driven Finance in the VUCA World,Yadav A.; Alam M.; Chaudhary K.,10.1201/9781003482154,https://www.scopus.com/pages/publications/105023800191?origin=resultslist
Deep Space Network Radio Science and Ground-Based Planetary Radar in the Next Decade,Park R.S.; Riedel J.E.; Rodriguez-Alvarez N.; Brozovic M.; Benner L.A.M.; Vergados P.; Buccino D.; Jacobs C.S.; Locke L.S.; Asmar S.W.; Castano R.; Lazio T.J.W.; Jao J.; Lee C.,10.1029/2025RS008296,https://www.scopus.com/pages/publications/105009944602?origin=resultslist
Luminescent Liquid Crystal Elastomers: From Fabrication Toward Multifunctional Applications,Zhong H.; Zhao B.; Deng J.,10.1002/lpor.202501667,https://www.scopus.com/pages/publications/105012617036?origin=resultslist
Reprogrammable shape morphing hydrogel modulated by synergistic photochromism and photoactuation,Peng X.; Li H.; Xu J.; Lan C.; Liu J.; Wu B.,10.1016/j.cej.2025.162103,https://www.scopus.com/pages/publications/105001409222?origin=resultslist
Inversion of Grinding Chamber Temperature Field Using Quantum-Inspired Optimization for Industrial Automation,Zhang Y.; Lei Y.; Hu B.; Hu X.; Liu Y.; He F.,10.1109/ICRAIC67376.2025.11376562,https://www.scopus.com/pages/publications/105034712497?origin=resultslist
"19th International Conference on Computer Aided Systems Theory, EUROCAST 2024",,,https://www.scopus.com/pages/publications/105004256404?origin=resultslist
"20th International Conference on Hybrid Artificial Intelligence Systems, HAIS 2025",,,https://www.scopus.com/pages/publications/105020265787?origin=resultslist
Automated synthesis and processing of functional nanomaterials: Advances and perspectives,Negahdary M.; Mabbott S.,10.1016/j.ccr.2024.216249,https://www.scopus.com/pages/publications/85205897260?origin=resultslist
An Active Control Method for a Lower Limb Rehabilitation Robot with Human Motion Intention Recognition,Song Z.; Zhao P.; Wu X.; Yang R.; Gao X.,10.3390/s25030713,https://www.scopus.com/pages/publications/85217744538?origin=resultslist
The AI Wave in Defence Innovation: Implications for Modern Navies,Raska M.,10.1142/9789819818587_0003,https://www.scopus.com/pages/publications/105033764163?origin=resultslist
Enhancing Computer Architecture Education Through Decentralized Visual Programming and RISC-V Simulation,De Luca G.; Cowan J.; Chen Y.,10.1109/ISADS66912.2025.00006,https://www.scopus.com/pages/publications/105015977679?origin=resultslist
Analysis of Path Finding Techniques for Flying Robots through Intelligent Decision-Making Algorithms in Quantum Inspired Computing Environment,Maity R.; Mishra R.; Pattnaik P.K.,10.1007/s11277-024-11125-z,https://www.scopus.com/pages/publications/85192572912?origin=resultslist
Enhancing vehicle-mountable multiple object tracking systems with embeddable Ising machines,Tatsumura K.; Hamakawa Y.; Yamasaki M.; Oya K.; Fujimoto H.,10.1038/s41467-025-67282-7,https://www.scopus.com/pages/publications/105027688973?origin=resultslist
Neutrosophic analysis of rejection sampling in Post Quantum Cryptography (PQC),Pandey S.K.,10.4018/979-8-3693-2085-3.ch003,https://www.scopus.com/pages/publications/105007487753?origin=resultslist
"Hybrid Organic–Si C-MOSFET Image Sensor Designed with Blue-, Green-, and Red-Sensitive Organic Photodiodes on Si C-MOSFET-Based Photo Signal Sensor Circuit",Jeong U.-H.; Park J.-H.; Choi J.-H.; Lee W.-G.; Park J.-G.,10.3390/nano14131066,https://www.scopus.com/pages/publications/85198436769?origin=resultslist
Super Bending-Stable Flexible Colloidal QD Photodetector with Fast Response and Near-Unity Carrier Extraction Efficiency,Deng Y.-H.; Kheradmand E.; Pang C.; Siddik A.B.; Bai J.; Lieberman I.; Geiregat P.; Van Thourhout D.; Hens Z.,10.1021/acsami.4c21940,https://www.scopus.com/pages/publications/86000375953?origin=resultslist
"International Conference on Information Technology and Systems, ICITS 2025",,,https://www.scopus.com/pages/publications/105012850526?origin=resultslist
"Neuro-Fuzzy Systems: A Study of Architectures, Applications, and Future Directions",Siva Subramanian R.; Veeramani T.; Lakshmipriya C.; Thilagam T.; Lekha D.; Sudha K.,10.1109/ICSCSA66339.2025.11170752,https://www.scopus.com/pages/publications/105018461043?origin=resultslist
Astrocyte Regulated Neuromorphic Central Pattern Generator Control of Legged Robotic Locomotion,Han Z.; Sengupta A.,10.1109/TCDS.2025.3599472,https://www.scopus.com/pages/publications/105013592630?origin=resultslist
"High-Throughput, In-Field Screening of Photosynthetic Efficiency in Crop Plants Using an Autonomous Robot",Caflisch N.; Hund A.; Muller O.; Walter A.; Keller B.,10.3791/69530,https://www.scopus.com/pages/publications/105028486985?origin=resultslist
Advancing Societally Relevant Applications of Knowledge through Scientific Research,Krishnamoorthi J.; Kumar B.V.; Thulasimani L.; Dhanalakshmi D.,10.1201/9781003770435,https://www.scopus.com/pages/publications/105033838834?origin=resultslist
On-chip integration of vector force sensor based on AlGaInP micro-LEDs with interface light coupling modulated by microstructures,Feng J.; Wang Z.; Zhanghu M.; Zhang X.; Shen Y.; Yang J.; Li Z.; Chen B.; Wang T.; Chen X.; Liu Z.,10.1016/j.cej.2024.153022,https://www.scopus.com/pages/publications/85196152463?origin=resultslist
From classical to intelligent control: Evolving trends in robotic manipulator technology,Waseem S.; Adnan M.; Iqbal M.S.; Amin A.A.; Shah A.; Tariq M.,10.1016/j.compeleceng.2025.110559,https://www.scopus.com/pages/publications/105010481058?origin=resultslist
"Artificial intelligence in modern mechatronic systems: technologies, applications, and future research directions",Ghazo A.T.A.; Salah M.,10.1080/21642583.2026.2640267,https://www.scopus.com/pages/publications/105032041792?origin=resultslist
An Imaginative Inquiry into a Quaternary Interpretation of Quantum Dynamics and Its Technological Implications,Malik P.,10.1007/978-981-97-4784-9_9,https://www.scopus.com/pages/publications/85218474318?origin=resultslist
Pest and Disease Management Through Precision Approaches,Abbas M.; Sarwar N.; Hussain S.; Nazi T.; Aftab J.; Saif S.; Jafir M.; Ahmad J.N.,10.1007/978-3-032-12770-9_3,https://www.scopus.com/pages/publications/105032075018?origin=resultslist
Hybrid 3D printing of bio-inspired artificial slowly adapting type II afferents,Lee M.; Sotzing M.; Wang J.; Chortos A.,10.1038/s41467-025-63470-7,https://www.scopus.com/pages/publications/105017396711?origin=resultslist
Entertainment robot based on IoT and VR interaction for motion training posture monitoring,Tong S.; Liao W.,10.1016/j.entcom.2024.100788,https://www.scopus.com/pages/publications/85196760768?origin=resultslist
Machine-learning-guided design of MOF-based electrocatalysts for sustainable ammonia production,Han B.; de Carvalho M.; Zhang J.; Mao H.; Yan Q.,10.1039/d5cc07118f,https://www.scopus.com/pages/publications/105028095474?origin=resultslist
"International Conference on Web 6.0 and Industry 6.0, WIN 6.0 2025",,,https://www.scopus.com/pages/publications/105028300468?origin=resultslist
The Convergence of Quantum Computing and Artificial Intelligence,Tank N.,10.4018/979-8-3373-7779-7.ch004,https://www.scopus.com/pages/publications/105032966037?origin=resultslist
"16th International Conference on Swarm Intelligence, ICSI 2025",,,https://www.scopus.com/pages/publications/105019495417?origin=resultslist
Enhancing multiple object tracking accuracy via quantum annealing,Ihara Y.,10.1038/s41598-025-07492-7,https://www.scopus.com/pages/publications/105010231153?origin=resultslist
"When, How, and Why Curing Conditions Change the Mechanical Properties of Silica-Free Silicone Elastomers",Rajinthan L.; Maamouri N.; Sotta P.; Morelle X.P.; Ganachaud F.,10.1021/acs.macromol.5c01970,https://www.scopus.com/pages/publications/105022822029?origin=resultslist
A comprehensive taxonomy of machine consciousness,Qin R.; Zhou C.; He M.,10.1016/j.inffus.2025.102994,https://www.scopus.com/pages/publications/85217695149?origin=resultslist
Neuromorphic Computing with a Paradigm Shift in Energy-Efficient and Scalable AI Hardware for Real-Time Applications,Ismail L.S.; Al-Hiyali M.I.; Zhumabaevna K.P.; Khalil I.M.; Mahdi A.F.,10.22034/jipm.2025.728122,https://www.scopus.com/pages/publications/105023887431?origin=resultslist
Metaverse healthcare in advancing patient care through digital realms,Rajendran R.; Rani S.Y.; Dhanasekaran S.,10.4018/979-8-3693-7245-6.ch008,https://www.scopus.com/pages/publications/105000004439?origin=resultslist
OS-RFODG: Open-source ROS2 framework for outdoor UAV dataset generation,Jarraya I.; Abdelkader M.; Gabr K.; Kadri M.B.; Alahmed F.; Boulila W.; Koubaa A.,10.1016/j.rineng.2025.106613,https://www.scopus.com/pages/publications/105012937127?origin=resultslist
Survey of new applications of geometric algebra,Hitzer E.; Kamarianakis M.; Papagiannakis G.; Vašík P.,10.1002/mma.9575,https://www.scopus.com/pages/publications/85166415988?origin=resultslist
Flexible and Ultra Low Weight Energy Harvesters Based on 2D Phosphorene or Black phosphorus (BP): Current and Futuristic Prospects,Kumar A.; Kim J.H.; Chang D.W.,10.1002/cssc.202301718,https://www.scopus.com/pages/publications/85185491367?origin=resultslist
Computational Intelligence for Connective Cognition Networks: Advances and Applications,Aggarwal K.; Arora A.; Akhtar Z.; Bruno A.,10.1201/9781003569619,https://www.scopus.com/pages/publications/105024500630?origin=resultslist
Market Trends in Quantum-Inspired Soft Computing for Intelligent Data Processing,Kapoor S.; Garg V.,10.1002/9781394336449-008,https://www.scopus.com/pages/publications/105032533536?origin=resultslist
Multi-strategy quantum particle swarm optimization for efficient path planning of mobile robots,Wang Z.; Kawamoto K.; Hirota K.; Yan F.,10.1007/s11227-025-07901-8,https://www.scopus.com/pages/publications/105018853673?origin=resultslist
Emerging Technologies for Precision Crop Management Towards Agriculture 5.0: A Comprehensive Overview,Taha M.F.; Mao H.; Zhang Z.; Elmasry G.; Awad M.A.; Abdalla A.; Mousa S.; Elwakeel A.E.; Elsherbiny O.,10.3390/agriculture15060582,https://www.scopus.com/pages/publications/105001161977?origin=resultslist
Rethinking sociology education in human–robot social interaction learning ecosystems: a mixed method study,Al Yakin A.; Muthmainnah M.; Asad M.M.; Almusharraf N.M.,10.1108/IJSSP-08-2025-0566,https://www.scopus.com/pages/publications/105028849587?origin=resultslist
A review of quantum artificial intelligence-based schemes for high-speed manipulation of delta robots,Sharma V.K.; Nisha; Saharan S.; Joshi S.K.; Wani N.A.,10.4018/979-8-3693-7673-7.ch016,https://www.scopus.com/pages/publications/86000192913?origin=resultslist
Integrating Quantum Computing and Generative AI for Energy-Efficient Cyber-Physical Systems,Shankar G.; Singh A.; Prakash V.,10.1109/ICEARS67481.2026.11416714,https://www.scopus.com/pages/publications/105035738152?origin=resultslist
"Performance evaluation of Particle Swarm Optimization variants for trajectory tracking of a cable-driven continuum robot: descriptive, parametric, and non-parametric statistical analysis",Amouri A.; Laib Dit Leksir Y.; Merabti H.; Belkhiri A.; Cherfia A.,10.1007/s00170-025-15564-1,https://www.scopus.com/pages/publications/105003925504?origin=resultslist
Matching Automata: A Degenerated Design,Ishida Y.,10.1007/978-3-031-85604-4,https://www.scopus.com/pages/publications/105008476086?origin=resultslist
"Proceedings - 2025 IEEE 3rd International Symposium on Sustainable Energy, Signal Processing and Cybersecurity, iSSSC 2025",,,https://www.scopus.com/pages/publications/105035008786?origin=resultslist
Quantum Artificial Intelligence Scalability in the NISQ Era: Pathways to Quantum Utility,Siddi Moreau G.; Pisani L.; Profir M.; Podda C.; Leoni L.; Cao G.,10.1002/qute.202400716,https://www.scopus.com/pages/publications/105006627054?origin=resultslist
Embedded Printing of Integrated Quantum Dot Waveguide Deformation Sensors,Biermann T.; Mesecke L.; Teves S.; Eckert G.; Hill O.; Ziesche I.; Wolf A.; Lachmayer R.,10.3390/s26041160,https://www.scopus.com/pages/publications/105031515586?origin=resultslist
Optimization of manipulator inverse kinematics using improved particle swarm algorithm for enhanced manufacturing efficiency,Li Z.; Wang P.; Feng Y.; Zhang G.; Guo Z.; Zhang M.; Zhang Y.,10.1177/09544054241310337,https://www.scopus.com/pages/publications/85216576072?origin=resultslist
"22nd Pacific Rim International Conference on Artificial Intelligence, PRICAI 2025",,,https://www.scopus.com/pages/publications/105035359809?origin=resultslist
"Multifunctional nanomaterials, systems, and algorithms for neuromorphic computing applications: Autonomous systems and wearable robotics",Go S.-X.; Wang Q.; Jiang Y.; Zhang Y.; Loke D.K.,10.1016/j.mser.2025.101095,https://www.scopus.com/pages/publications/105014025879?origin=resultslist
A Biomimetic Soft Actuator Achieves Efficient Fluorescence via Covalent Cross-Linking,Liao S.; Dong G.; Han B.; Wei J.; Zhang Y.; Guo Y.; Lin T.; Lin C.; Zhao C.; Gao M.; Wu X.; Wen N.; Fan H.; Zheng Y.; Gao F.; Zheng X.,10.1002/smll.202503597,https://www.scopus.com/pages/publications/105010702527?origin=resultslist
DISCRETION: First Field Demonstration of a Quantum Enabled SDN in the Context of a Military Exercise,Bastos C.; Pinto F.; Bacar R.; Anjos G.; Almeida M.; Pinto A.N.; Chaves R.; Dias T.; Afonso J.; Cale R.; Freitas M.; Maia L.; Magalhaes L.; Muniz A.; Canto R.; Brito J.P.; Ballesta J.; Mendez R.B.; Laschet S.; Ramacher S.; James P.; Torresetti L.; Piscione P.; Abdulwahed A.K.; Giardina P.; Martin V.; Ortiz L.; Pastor A.; Muga N.; Silva N.; Lopez D.; Vieira M.; Escribano C.; Mengal L.,10.1109/ICMCIS64378.2025.11047713,https://www.scopus.com/pages/publications/105013175184?origin=resultslist
Design of optimized controllers for underactuated rotary double inverted pendulum inspired systems,Ghosh A.; Singh O.; Ray A.K.,10.1177/01423312251356925,https://www.scopus.com/pages/publications/105023568992?origin=resultslist
Light-driven plasmonic microrobot for nanoparticle manipulation,Qin J.; Wu X.; Krueger A.; Hecht B.,10.1038/s41467-025-57871-x,https://www.scopus.com/pages/publications/105000141258?origin=resultslist
A Quantum-Based Collaborative Guidance Strategy for Multirobot Plume Source Localization,Li R.-G.; Wu H.-N.,10.1109/TCNS.2023.3330197,https://www.scopus.com/pages/publications/85177048440?origin=resultslist
A Quantum-Inspired Hybrid Artificial Neural Network for Identifying the Dynamic Parameters of Mobile Car-Like Robots,Numbi J.; Fazilat M.; Zioui N.,10.3390/math13172856,https://www.scopus.com/pages/publications/105016182474?origin=resultslist
Exploring Challenges and Opportunities in Manufacturing and Intelligence for Future Robotics,Choi J.Y.; Ahn S.; Kim D.; Heo J.; Yun W.-J.; Hong S.; Bae S.; Ahn S.-H.,10.1007/s12541-025-01318-2,https://www.scopus.com/pages/publications/105014260347?origin=resultslist
ReLAQA: Reinforcement Learning-Based Autonomous Quantum Agent for Quantum Applications,Alomari A.; Kumar S.A.P.,10.1109/TAI.2024.3437335,https://www.scopus.com/pages/publications/105001066432?origin=resultslist
Recent advance of high-quality perovskite nanostructure and its application in flexible photodetectors,Cheng Y.; Guo X.; Shi Y.; Pan L.,10.1088/1361-6528/ad3251,https://www.scopus.com/pages/publications/85188840978?origin=resultslist
The Concept of Quantum Teleportation for Remote Control of a Car-like Mobile Robot,Numbi J.; Zioui N.; Tadjine M.,10.3390/robotics14030025,https://www.scopus.com/pages/publications/105001150860?origin=resultslist
Innovative Integration of Robotic-Assisted Laparoscopic Telesurgery and Quantum Cryptography Communication in Urology: Clinical Application and Initial Experience,Chu G.; Yang X.; Zhang X.; Guan B.; Zhao J.; Gao Y.; Yuan Y.; Cao Y.; Wang S.; Li J.; Niu H.,10.1002/rcs.70028,https://www.scopus.com/pages/publications/85214123454?origin=resultslist
"Deep Learning in Robotics, Smart Technologies, and Medical Devices Using Very Large Scale Integration (VLSI)-Based Embedded Systems",Hema S.; Devi P.S.; Alkabbji R.; Lincy B.; Bahl A.; Karthikeyan G.,10.1109/I2ITCON65200.2025.11210747,https://www.scopus.com/pages/publications/105026257329?origin=resultslist
Smart Healthcare: The Role of Industry 4.0 Technologies in Modern Medicine,Dehankar P.; Das S.,,https://www.scopus.com/pages/publications/105027505871?origin=resultslist
A Generative Neuro-Cognitive Architecture Using Quantum Algorithms for the Autonomous Behavior of a Smart Agent in a Simulation Environment,Daglarli E.,10.32604/cmc.2025.065572,https://www.scopus.com/pages/publications/105014216412?origin=resultslist
State of the Art an Hybrid Fast Deep Learning Approach:h-QGAN for Healthcare Image Data,Maharana C.; Dash C.S.K.; Behera A.K.,10.1109/OCIT66168.2025.11400277,https://www.scopus.com/pages/publications/105036714830?origin=resultslist
Quantum-Enhanced Bioinspired Algorithms: An Overview of Optimization and Learning,Jena M.; Nayak S.C.; Dehuri S.,10.1007/978-3-031-89905-8_1,https://www.scopus.com/pages/publications/105008458453?origin=resultslist
Quantum Machine Learning for Industry 5.0,Gupta K.; Jahnavi P.; Bablani A.; Hazra A.,10.1007/978-3-031-87837-4_7,https://www.scopus.com/pages/publications/105023624715?origin=resultslist
"Correction to: QDKFFHNet : Quantum Dilated Kronecker Feed Forward Harmonic Net for Intrusion Detection in IoT -Based Smart City Applications (Transactions on Emerging Telecommunications Technologies, (2025), 36, 5, 10.1002/ett.70141)",,10.1002/ett.70316,https://www.scopus.com/pages/publications/105023567790?origin=resultslist
Optimus-Q: Utilizing Federated Learning in Adaptive Robots for Intelligent Advanced Reactor Operations through Quantum Cryptography,Puppala S.; Hossain I.; Alam M.J.; Kobayashi K.; Roy S.; Alam S.B.; Talukder S.,10.13182/NPICHMIT25-46769,https://www.scopus.com/pages/publications/105022135267?origin=resultslist
Aubry–André localization transition for an active undulator,Pierce C.J.; Wang T.; Kalinin D.; Zangwill A.; Goldman D.I.,10.1073/pnas.2519118123,https://www.scopus.com/pages/publications/105030535166?origin=resultslist
Analysis of Barriers in Upskilling Educators on Emerging Technologies,Chandra A.K.; Shukla B.; Hasteer N.; Kumar P.,10.1007/978-981-96-3936-6_10,https://www.scopus.com/pages/publications/105015610357?origin=resultslist
Machine learning for deep eutectic solvents: advances in property prediction and molecular design,Sharma A.; Garg A.; Li L.; Chatterjee I.; Lee B.-S.; Garg A.,10.1016/j.molliq.2025.128317,https://www.scopus.com/pages/publications/105013475577?origin=resultslist
"2025 South American Conference on Visible Light Communications, SACVLC 2025",,,https://www.scopus.com/pages/publications/105031450564?origin=resultslist
QCell-HM: Quantum Cellular Neural Network with Henon Map for Secure Robotic Image Encryption Processing,Wang W.; Shi J.; Du P.; Shi J.,10.1109/IECON58223.2025.11221892,https://www.scopus.com/pages/publications/105024692255?origin=resultslist
Quantum Computational Intelligence Techniques: A Scientometric Mapping,Arora M.; Gupta K.,10.1007/s11831-024-10183-7,https://www.scopus.com/pages/publications/105002983932?origin=resultslist
Series Editorial: Integrated Sensing and Communications,Yuan W.; Alexandropoulos G.C.; Caire G.; Cordeiro C.; Gu T.; Wang P.,10.1109/MCOM.2025.11293132,https://www.scopus.com/pages/publications/105024543597?origin=resultslist
Large deviation-based noise mitigation in coupled quantum robotic systems,Singla R.; Verschae R.; Parthasarathy H.,10.1007/s11128-025-04982-5,https://www.scopus.com/pages/publications/105020677123?origin=resultslist
Recent Developments in Quantum Dot Light-Emitting Diodes for Skin-Attachable Electronics,Kim K.; Kim M.; Yang J.,10.1007/s11814-024-00179-1,https://www.scopus.com/pages/publications/85192859923?origin=resultslist
Sub-kHz miniaturized external cavity diode laser within a butterfly package,Assmann C.; Schmidtmann S.; Erfle D.; Tatenguem H.; Farsi V.; Sacher J.,10.1117/12.3042980,https://www.scopus.com/pages/publications/105004185852?origin=resultslist
One Pot Synthesis of Cyan Emitting CdZnSSe Quantum Dots for Human Centric Lighting,Jordan A.J.; Zhang Z.; Bennett E.; Castro L.G.; Han D.J.; Rreza I.; Teitelboim A.; Theobald B.; Zekarias B.; Chan E.M.; Owen J.S.,10.1021/acs.jpcc.4c07446,https://www.scopus.com/pages/publications/85212577172?origin=resultslist
